100 mm/s,,30 mm/s,,20 mm/s,,15 mm/s,,10 mm/s,,7 mm/s,,5 mm/s,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.018561719834375046,0.06952139500371146,0.02882089594420123,0.18239920850853508,0.04519722688997063,0.1844422458570385,0.07389452985219885,0.3683156072223621,0.06772066054518738,0.21508780608459155,0.05431479720156113,0.07277269354439753,0.0934982103895155,0.14766757358397342
0.033061427073054095,0.8647736829087336,0.06166087837533457,0.5930497155577559,0.06366992726422632,0.4164121114683841,0.11080939766496417,0.6900939896116753,0.12306995535651849,0.5906352168731601,0.10799927058462877,0.31383461126226564,0.13938746095324478,0.31878742907682067
0.05167292353902314,1.7429781515376392,0.07604653504324504,0.8572825459642193,0.08213925621731344,0.6326846401187236,0.14156849653382497,0.9429198614889955,0.17378979392740818,0.8556651413966545,0.16809935058091158,0.5705763047242165,0.1844486290464305,0.44666299402633847
0.05996602619350577,2.232587187731884,0.09656800759485401,1.0975664385632253,0.10675884758908016,0.8922712978340002,0.17232753271744566,1.195453870887956,0.20855026145057481,1.0177096215681445,0.20906860665154087,0.7080479541894338,0.22950613385217006,0.5574822926269896
0.0662515692559284,2.9057679940638153,0.10685839921304174,1.3557836589990941,0.1334123388410876,1.0909265671805866,0.20103536680002682,1.4283601286173644,0.26651885332488306,1.3348580037326023,0.2426636318510717,0.8218698985901565,0.27251613289653415,0.6658839970319068
0.0750762093151543,5.87021518674252,0.12326898555307086,1.5173198120207783,0.15392735133044289,1.3011324099266233,0.22564750922500082,1.6532644900651352,0.30545796264930075,1.5507356336054103,0.3032930469106589,1.0016571852584732,0.32839773338671135,0.7967697254513997
0.08179649018965379,6.184842938412071,0.13764857951350024,1.753324676395418,0.17308313828110583,1.5366302983666342,0.25026972830233635,1.9250857449088965,0.3362126983020675,1.783246371349268,0.3497246834147462,1.156587517519995,0.36968349673285944,0.895078736911536
0.09161375233334307,6.622861633275621,0.14385166536621358,2.04258471432105,0.19409642413640987,1.7975661637397984,0.25850355474893466,2.138704757193505,0.3628689294214485,1.9946584631874043,0.3868755068296455,1.3062059526754082,0.41587072348541837,0.9710116250309184
0.08336376223637149,6.333984664852833,0.14799851340359188,2.2887707148157324,0.20800119678833723,2.092033784959832,0.2647074607335405,2.431783329210983,0.3731727348104101,2.3153302003462795,0.42415822155705035,1.43452572347267,0.4725341234955424,1.1111866875532481
0.10192850021454658,6.9944816143128055,0.1547542758652996,5.1512930442190905,0.21356351353533715,2.574795943606235,0.27095943584983767,2.9486717783823915,0.3814278167772052,2.627914914667328,0.47794719858422025,1.6933104542831252,0.5093951168268718,1.1821254843762894
0.11224228091473143,7.3615984005276625,0.1652910518200819,6.5566757358397245,0.21817658304668125,4.9917091268859775,0.2758050676023131,6.448394756369034,0.3925801269655896,6.899224997938826,0.5076696572705741,1.8849242517932252,0.5617911703553919,1.3093045593206378
0.12047449008213268,7.567687360870642,0.17359527901519162,7.098080633193175,0.22466726355764882,6.620009893643336,0.28994422501068845,6.926465495918873,0.4029205170278613,7.3902349740291875,0.5246151860137478,2.1544599261641064,0.6022379857893623,1.3969849121939166
0.1307661998316212,7.832041800643088,0.1873350594715691,7.532036899625325,0.23620314055178332,6.95874548602523,0.2882614188425175,7.2605507461456025,0.41502691746712533,6.573020034627753,0.532884634508926,2.533935196636163,0.6437086784297468,1.4864529227471355
0.13698076753083066,8.174761315854564,0.1942128602288194,7.785846456151924,0.23638094096707835,7.151199604254268,0.3054439551100016,7.839362684475226,0.4235220212186351,8.003146178580263,0.5375793202030068,5.330853326737573,0.6923589989372547,1.6465759749361064
,,0.20651863281578714,7.896908236458077,0.23875570860670486,5.500425426663369,0.31913141312505694,8.02970566411081,,,0.5441183597649013,7.184313834611263,0.7333430514314334,1.852939772446204
,,,,0.2578799631402919,7.707057099147132,,,,,0.5369237579610255,2.2785555280732144,0.7648055722007887,7.287051859180478
,,,,0.2679521024963479,8.00806614607258,,,,,0.5544231341632009,7.509497279248084,0.7722833279360277,2.0742517932228557
,,,,,,,,,,,,0.7764065018476916,2.21021106439113
,,,,,,,,,,,,0.7851788310739729,4.931099018880371
